station,distance,elevation
1+200,325,-4.0974617
1+200,350,-4.218416691
1+200,375,-4.340312004
1+200,400,-4.461266994
1+300,0,-0.089753
1+300,25,-0.189752981
1+300,50,-1.422604799
1+300,75,-1.745210767
1+300,100,-1.99682951
1+300,125,-2.254118681
1+300,150,-2.505737305
1+300,175,-2.765827417
1+300,200,-3.027320147
1+300,225,-3.324694633
1+300,250,-3.605627298
1+300,275,-3.852559566
1+300,300,-4.046788692
1+300,325,-4.166031361
1+300,350,-4.282157421
1+300,375,-4.398283482
1+300,400,-4.521126747
1+400,0,-0.047945
1+400,25,-0.207945032
1+400,50,-1.122296429
1+400,75,-1.435164809
1+400,100,-1.582527924
1+400,125,-1.724265099
1+400,150,-2.166002274
1+400,175,-2.614337206
1+400,200,-3.052586555
1+400,225,-3.370391607
1+400,250,-3.686796665
1+400,275,-3.995001554
1+400,300,-4.116074085
1+400,325,-4.230954647
1+400,350,-4.345835209
1+400,375,-4.464980602
1+400,400,-4.581151009
1+500,0,-0.07973
1+500,25,-0.179730281
1+500,50,-2.020964622
1+500,75,-1.496926069
1+500,100,-1.575916409
1+500,125,-1.989093781
1+500,150,-2.421830893
1+500,175,-2.835008144
1+500,200,-3.199344397
1+500,225,-3.522916794
1+500,250,-3.838476181
1+500,275,-4.063407898
1+500,300,-4.179662228
1+500,325,-4.295220375
1+500,350,-4.413146973
1+500,375,-4.528029919
1+500,400,-4.642912865
1+600,0,0.697461
1+600,25,0.597461402
1+600,50,-1.668723345
1+600,75,-1.390489936
1+600,100,-1.261106014
1+600,125,-1.833060384
1+600,150,-2.421222687
1+600,175,-3.009445429
1+600,200,-3.33556366
1+600,225,-3.653675795
1+600,250,-3.971466303
1+600,275,-4.115487576
1+600,300,-4.236538887
1+600,325,-4.359875202
1+600,350,-4.478316307
1+600,375,-4.596757889
1+600,400,-4.720093727
1+700,0,0.302808
1+700,25,0.202808008
1+700,50,-1.856840253
1+700,75,-1.316788197
1+700,100,-1.500994325
1+700,125,-2.095020771
1+700,150,-2.620363712
1+700,175,-3.093955517
1+700,200,-3.412282705
1+700,225,-3.730609894
1+700,250,-4.026801586
1+700,275,-4.184016228
1+700,300,-4.344966888
1+700,325,-4.50218153
1+700,350,-4.664569855
1+700,375,-4.825520515
1+700,400,-4.940433025
1+800,0,0.383768
1+800,25,0.283767819
1+800,50,-1.398460269
1+800,75,-1.808541417
1+800,100,-2.258893967
1+800,125,-2.769870996
1+800,150,-3.043017149
1+800,175,-3.143876791
1+800,200,-3.364937544
1+800,225,-3.621769905
1+800,250,-3.875062943
1+800,275,-4.12835598
1+800,300,-4.38518858
1+800,325,-4.521773815
1+800,350,-4.622474194
1+800,375,-4.811610699
