station,distance,elevation
6+300,375,-3.839758635
6+300,400,-4
6+400,0,2.527403
6+400,25,2.627402782
6+400,50,2.566744804
6+400,75,2.54603982
6+400,100,-0.169032589
6+400,125,-0.893737316
6+400,150,-1.26946485
6+400,175,-1.586345196
6+400,200,-2.303184032
6+400,225,-2.519984484
6+400,250,-2.778236628
6+400,275,-3.020750999
6+400,300,-3.174736261
6+400,325,-3.339239597
6+400,350,-3.496074438
6+400,375,-3.653434992
6+400,400,-3.810269833
6+500,0,2.469399
6+500,25,2.434422731
6+500,50,2.412460089
6+500,75,2.394119978
6+500,100,2.137983322
6+500,125,-0.573534191
6+500,150,-1.868762136
6+500,175,-1.949705839
6+500,200,-2.020397902
6+500,225,-2.333363533
6+500,250,-2.635373592
6+500,275,-2.937383413
6+500,300,-3.105035305
6+500,325,-3.231679678
6+500,350,-3.36297226
6+500,375,-3.489616871
6+500,400,-3.643494606
6+600,0,2.918302
6+600,25,3.018302441
6+600,50,2.977647543
6+600,75,2.689119816
6+600,100,1.882427216
6+600,125,-1.000724554
6+600,150,-1.767605901
6+600,175,-1.79882884
6+600,200,-2.178970098
6+600,225,-2.467034817
6+600,250,-2.732347488
6+600,275,-3.01840806
6+600,300,-3.147699833
6+600,325,-3.272343397
6+600,350,-3.403851748
6+600,375,-3.53314352
6+600,400,-3.657787085
6+700,0,2.31877
6+700,25,2.402346373
6+700,50,2.709130526
6+700,75,2.438632727
6+700,100,-0.151124939
6+700,125,-1.029368997
6+700,150,-1.613692403
6+700,175,-1.543908596
6+700,200,-2.005078554
6+700,225,-2.399878502
6+700,250,-2.78849411
6+700,275,-3.054212093
6+700,300,-3.185535192
6+700,325,-3.310101032
6+700,350,-3.441424131
6+700,375,-3.565989971
6+700,400,-3.695255995
6+800,0,2.195848
6+800,25,2.231512308
6+800,50,2.316997051
6+800,75,2.288588762
6+800,100,-0.301772267
6+800,125,-1.167575955
6+800,150,-1.702486277
6+800,175,-1.786780834
6+800,200,-2.039663553
6+800,225,-2.490167379
6+800,250,-2.886496782
6+800,275,-3.084411621
6+800,300,-3.213851213
6+800,325,-3.337624788
6+800,350,-3.466628075
6+800,375,-3.590837955
6+800,400,-3.719841242
6+900,0,2.155863
6+900,25,2.055862904
6+900,50,2.154713869
6+900,75,2.238104105
6+900,100,0.385706127
6+900,125,-1.223450541
6+900,150,-1.713198304
6+900,175,-1.906390309
6+900,200,-2.042075157
6+900,225,-2.33524251
6+900,250,-2.617516994
6+900,275,-2.910684586
6+900,300,-3.084908247
6+900,325,-3.213911533
6+900,350,-3.337685108
6+900,375,-3.467124701
6+900,400,-3.606816053
7+000,0,2.161414
7+000,25,2.061414003
7+000,50,2.110872984
7+000,75,2.005405188
7+000,100,0.746424973
7+000,125,-1.2479707
7+000,150,-1.337788343
7+000,175,-1.961299539
7+000,200,-2.207824469
7+000,225,-2.365762234
7+000,250,-2.541659355
7+000,275,-2.675502062
7+000,300,-2.910821676
7+000,325,-3.090198278
7+000,350,-3.233036041
7+000,375,-3.38511157
7+000,400,-3.530062914
7+100,0,2.178221
7+100,25,2.078221321
7+100,50,2.214921474
7+100,75,2.092634678
7+100,100,0.985241652
7+100,125,-1.395226955
7+100,150,-1.707877398
7+100,175,-2.017379284
7+100,200,-2.308012009
7+100,225,-2.463761091
7+100,250,-2.627952814
7+100,275,-2.783702135
7+100,300,-2.945331573
7+100,325,-3.100620031
7+100,350,-3.243707657
7+100,375,-3.392197847
7+100,400,-3.537639618
7+200,0,2.215967
7+200,25,2.295122862
7+200,50,2.091804028
7+200,75,2.063040495
7+200,100,0.658932805
7+200,125,-1.097207665
7+200,150,-1.107757211
7+200,175,-1.833540201
7+200,200,-2.200899124
7+200,225,-2.382961273
7+200,250,-2.547472954
7+200,275,-2.730212212
7+200,300,-2.956210375
7+200,325,-3.123176575
7+200,350,-3.273293018
7+200,375,-3.419273376
7+200,400,-3.569390059
7+300,0,2.356932
7+300,25,2.256932497
7+300,50,2.099876165
7+300,75,2.194043398
7+300,100,0.817040741
7+300,125,-1.119705796
7+300,150,-1.469452858
7+300,175,-1.5231179
7+300,200,-1.901443839
7+300,225,-2.154743433
7+300,250,-2.427869797
7+300,275,-2.652740002
7+300,300,-2.866156101
7+300,325,-3.082005501
7+300,350,-3.232122183
7+300,375,-3.378102541
7+300,400,-3.528218985
7+400,0,2.304894
7+400,25,2.274431944
7+400,50,2.238008022
7+400,75,1.95607996
7+400,100,0.958510339
7+400,125,-1.125823975
7+400,150,-1.67688632
7+400,175,-1.710783482
7+400,200,-1.92382586
7+400,225,-2.342386007
7+400,250,-2.524182081
7+400,275,-2.715423584
7+400,300,-2.897203684
7+400,325,-3.068112612
7+400,350,-3.21947813
7+400,375,-3.363354921
7+400,400,-3.51472044
7+500,0,2.271224
7+500,25,2.171224117
7+500,50,2.073405504
7+500,75,1.49926734
7+500,100,0.653745592
7+500,125,-1.130980372
7+500,150,-2.071254969
7+500,175,-1.882442355
7+500,200,-1.826367855
7+500,225,-2.115169287
7+500,250,-2.408973694
7+500,275,-2.706567526
7+500,300,-3.000183344
7+500,325,-3.146909237
7+500,350,-3.288582802
7+500,375,-3.438492537
7+500,400,-3.58521843
